!ALL BLUEPRINTS! (201) True = Pre Installed False = No Pre Installed
BASIC MATERIALS (9)	
TRUE	Titanium
TRUE	Titanium Ingot
FALSE	Fiber Mesh
TRUE	Silicone Rubber
TRUE	Glass
TRUE	Bleach
FALSE	Lubricant
FALSE	Enameled Glass
FALSE	Plasteel Ingot
ADVANCED MATERIALS (6)	
FALSE	Hydrochloric Acid
FALSE	Benzene
FALSE	Synthetic Fibers
FALSE	Aerogel
FALSE	Polyaniline
FALSE	Hatching Enzymes
ELECTRONICS (9)	
TRUE	Copper Wire
TRUE	Battery
FALSE	Ion Battery
FALSE	Power Cell
FALSE	Ion Power Cell
TRUE	Computer Chip
TRUE	Wiring Kit
FALSE	Advanced Wiring Kit
FALSE	Reactor Rod
WATER (2)	
FALSE	Filtered Water
TRUE	Disinfected Water
COOKED + CURED FOOD (28)	
FALSE	Cooked + Cured Holefish
FALSE	Cooked + Cured Peeper
FALSE	Cooked + Cured Bladderfish
FALSE	Cooked + Cured Garryfish
FALSE	Cooked + Cured Hoverfish
FALSE	Cooked + Cured Reginald
FALSE	Cooked + Cured Spadefish
FALSE	Cooked + Cured Boomerang
FALSE	Cooked + Cured Magmarang
FALSE	Cooked + Cured Eyeye
FALSE	Cooked + Cured Red Eyeye
FALSE	Cooked + Cured Oculus
FALSE	Cooked + Cured Hoopfish
FALSE	Cooked + Cured Spinefish
EQUIPMENT (15)	
TRUE	Standard O2 Tank
FALSE	High Capacity O2 Tank
TRUE	Fins
FALSE	Radiation Suit
FALSE	Reinforced Dive Suit
FALSE	Stillsuit
TRUE	First Aid Kit
TRUE	Fire Extinguisher
FALSE	Rebreather
FALSE	Compass
TRUE	Pipe
TRUE	Floating Air Pump
FALSE	Purple Tablet (1)
FALSE	Blue Tablet
FALSE	Orange Tablet
TOOLS (12)	
TRUE	Scanner
TRUE	Repair Tool
TRUE	Flashlight
TRUE	Survival Knife
FALSE	Pathfinder Tool
FALSE	Air Bladder
TRUE	Flare
TRUE	Habitat Builder
FALSE	Laser Cutter (3)
FALSE	Stasis Rifle (2)
FALSE	Propulsion Cannon (2)
FALSE	Light Stick (2)
MACHINES (6)	
FALSE	Seaglide (2)
FALSE	Mobile Vehicle Bay (3)
FALSE	Beacon (2)
TRUE	Waterproof Locker
FALSE	Grav Trap (2)
FALSE	Creature Decoy
MOBILE VEHICLE BAY (7)	
FALSE	Seamoth (3)
FALSE	Prawn Suit (4)
FALSE	Neptune Launch Platform
FALSE	Neptune Gantry
FALSE	Neptune Ion Boosters
FALSE	Neptune Fuel Reserve
FALSE	Neptune Cockpit
MODIFICATION STATION (11)	
FALSE	Thermoblade
FALSE	Lightweight High Capacity Tank
FALSE	Ultra High Capacity Tank
FALSE	Ultra Glide Fins
FALSE	Swim Charge Fins
FALSE	Repulsion Cannon
